City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Bethel,US,41.3712,-73.414,48.07,56,100,12.66,overcast clouds
266,Dunedin,NZ,-45.8742,170.5036,51.8,90,5,1.01,clear sky
267,Souillac,MU,-20.5167,57.5167,77.38,83,75,10.36,light rain
268,Axim,GH,4.8699,-2.2405,82.94,78,94,7.76,overcast clouds
269,Rominimbang,PH,7.5,124.3,66.72,94,100,3.44,overcast clouds
270,Agdas,AZ,40.65,47.4761,57.07,54,33,5.75,scattered clouds
271,Grand Gaube,MU,-20.0064,57.6608,77.4,87,58,1.99,broken clouds
272,Zeya,RU,53.75,127.2667,30.27,56,100,9.53,overcast clouds
273,Rocha,UY,-34.4833,-54.3333,79.75,47,1,16.17,clear sky
274,Hasaki,JP,35.7333,140.8333,57.29,87,36,12.15,scattered clouds
275,Lashio,MM,22.9333,97.75,67.77,57,16,1.7,few clouds
276,Dingle,PH,10.9995,122.6711,72.75,96,100,7.72,light rain
277,Chicama,PE,-7.8447,-79.1469,80.04,60,86,10.74,overcast clouds
278,Buraydah,SA,26.326,43.975,86.45,13,39,12.44,scattered clouds
279,Kyshtovka,RU,56.555,76.6271,20.26,93,9,3.78,clear sky
280,Paraiso,CR,9.8383,-83.8656,76.87,67,100,6.33,overcast clouds
281,Pemangkat,ID,1.1667,108.9667,79.3,76,73,3.18,broken clouds
282,Talnakh,RU,69.4865,88.3972,-6.47,99,94,2.24,overcast clouds
283,Thinadhoo,MV,0.5333,72.9333,84.29,66,24,9.37,few clouds
284,Asfi,MA,32.2994,-9.2372,62.83,80,100,7.9,overcast clouds
285,Port-Gentil,GA,-0.7193,8.7815,80.53,81,84,8.46,broken clouds
286,Muromtsevo,RU,56.3724,75.2418,23.45,94,13,3.83,few clouds
287,San Patricio,US,28.017,-97.5169,86.16,55,18,26.17,few clouds
288,Giyani,ZA,-23.3025,30.7187,71.56,62,98,9.37,overcast clouds
289,Zhoucheng,CN,35.9122,116.3117,64.81,75,0,8.3,clear sky
290,Vanimo,PG,-2.6741,141.3028,77.43,89,90,6.89,overcast clouds
291,Sao Filipe,CV,14.8961,-24.4956,74.44,72,9,18.61,clear sky
292,Porto Nacional,BR,-10.7081,-48.4172,91.4,44,12,1.48,few clouds
293,Morro Bay,US,35.3658,-120.8499,75.99,29,28,6.91,scattered clouds
294,Inverell,AU,-29.7833,151.1167,58.15,93,0,3.09,clear sky
295,Monrovia,LR,6.3005,-10.7969,85.77,75,99,9.78,overcast clouds
296,Ushtobe,KZ,45.2514,77.9838,50.95,28,92,20.09,overcast clouds
297,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,101.89,25,6,16.24,clear sky
298,Erenhot,CN,43.6475,111.9767,53.82,18,94,20.65,overcast clouds
299,Asau,RO,46.4333,26.4,39.96,92,100,6.6,overcast clouds
300,Sambava,MG,-14.2667,50.1667,76.48,90,51,9.4,broken clouds
301,Sinop,TR,41.7711,34.8709,57.2,66,69,7.4,broken clouds
302,Nizwa,OM,22.9333,57.5333,86.18,10,63,5.95,broken clouds
303,Bathsheba,BB,13.2167,-59.5167,86.61,62,75,23.02,broken clouds
304,Saint Anthony,US,45.0205,-93.218,57.76,34,0,19.57,clear sky
305,Skibbereen,IE,51.55,-9.2667,50.11,90,100,24.67,overcast clouds
306,Havoysund,NO,70.9963,24.6622,39.43,85,35,15.03,scattered clouds
307,Verkh-Usugli,RU,52.7,115.1667,27.1,86,100,1.57,overcast clouds
308,Neryungri,RU,56.6709,124.6491,2.59,98,100,4.05,overcast clouds
309,Fairbanks,US,64.8378,-147.7164,14.59,60,100,1.99,overcast clouds
310,Ghanzi,BW,-21.5667,21.7833,71.13,61,43,10.4,scattered clouds
311,Medea,DZ,36.2642,2.7539,61.02,51,39,6.46,scattered clouds
312,Puli,TW,23.9664,120.9695,74.21,77,42,2.75,scattered clouds
313,Khromtau,KZ,50.2503,58.4347,43.86,99,99,8.34,overcast clouds
314,Salalah,OM,17.0151,54.0924,82.49,83,0,3.44,clear sky
315,Namwala,ZM,-15.7504,26.4384,65.26,88,100,3.56,overcast clouds
316,Port Elizabeth,ZA,-33.918,25.5701,67.1,95,40,9.22,scattered clouds
317,Colonia,DE,50.9333,6.95,53.06,34,0,3.44,clear sky
318,Robertsport,LR,6.7533,-11.3686,82.29,81,71,10.27,broken clouds
319,Buenos Aires,AR,-34.6132,-58.3772,79.99,67,40,9.22,scattered clouds
320,Daru,PG,-9.0763,143.2092,79.97,87,100,6.11,overcast clouds
321,Borskoye,RU,53.0333,51.7167,50.22,88,100,6.71,overcast clouds
322,Udachnyy,RU,66.4167,112.4,2.8,100,59,3.04,broken clouds
323,Vila Do Maio,CV,15.1333,-23.2167,79.59,80,11,19.42,few clouds
324,Christchurch,NZ,-43.5333,172.6333,55.94,91,51,3.44,broken clouds
325,Byron Bay,AU,-28.65,153.6167,65.95,93,20,7.87,few clouds
326,Damaturu,NG,11.747,11.9608,94.23,16,97,4.45,overcast clouds
327,Outjo,NA,-20.1167,16.15,74.82,36,9,8.23,clear sky
328,Churapcha,RU,62.0025,132.4325,3.18,86,87,6.24,overcast clouds
329,Imbituba,BR,-28.24,-48.6703,75.63,76,44,8.72,scattered clouds
330,Chumikan,RU,54.7183,135.315,17.62,90,99,13.11,overcast clouds
331,Russell,US,32.3502,-85.1999,72.97,27,0,5.75,clear sky
332,Bhavani,IN,11.45,77.6833,83.32,59,100,2.21,overcast clouds
333,Lavrentiya,RU,65.5833,-171.0,19.62,98,93,5.01,overcast clouds
334,Moorpark,US,34.2856,-118.882,74.39,69,18,1.99,few clouds
335,Namibe,AO,-15.1961,12.1522,71.73,80,33,6.76,scattered clouds
336,Veraval,IN,20.9,70.3667,80.89,80,8,8.23,clear sky
337,Saint-Georges,GD,12.0564,-61.7485,83.88,74,20,20.71,few clouds
338,Nacala,MZ,-14.5428,40.6728,74.39,94,7,6.17,light rain
339,Leh,IN,34.1667,77.5833,31.44,50,0,5.75,clear sky
340,Inhambane,MZ,-23.865,35.3833,74.66,89,100,12.5,moderate rain
341,Cravo Norte,CO,6.3017,-70.2041,93.51,36,99,8.43,overcast clouds
342,Pangai,TO,-19.8,-174.35,75.31,88,20,0.0,few clouds
343,Nanortalik,GL,60.1432,-45.2371,33.03,73,100,4.41,overcast clouds
